Parcel Number,Sale Date,Sale Amount,Address,Style,Year Built,Total SF,Lot Area,Appraised Value,Recording
1014355009,05/25/2023,"$60,000","1521 BROADWAY ST, IOWA CITY",1 Story Frame,1954,1204,"6,250","$150,000",6482-625
1014282006,09/04/2023,"$70,000","818 RUNDELL ST, IOWA CITY",1 1/2 Story Frame,1915,1370,"6,250","$132,160",6513-181
1014354001,04/26/2023,"$70,000","1009 HIGHLAND AVE, IOWA CITY",1 Story Frame,1900,1026,"6,250","$114,650",6474-726
1014261007,09/19/2023,"$100,000","1308 KIRKWOOD AVE, IOWA CITY",1 Story Frame,1940,432,"6,250","$104,620",6523-47
1014304002,10/18/2023,"$120,000","1330 LOWER MUSCATINE RD, IOWA CITY",1 Story Frame,1900,1030,"10,900","$185,850",6523-707
1014344001,01/04/2023,"$135,000","1303 LUKIRK ST, IOWA CITY",1 Story Frame,1900,704,"6,250","$143,780",6458-83
1023185005,06/03/2023,"$137,500","2301 HOLLYWOOD BLVD, IOWA CITY",1 Story Frame,1960,936,"7,500","$183,200",6497-498
1014116001,09/27/2023,"$140,000","603 S 1ST AVE, IOWA CITY",1 Story Frame,1900,540,"6,000","$124,270",6518-604
1024253004,08/11/2023,"$141,000","2112 MIAMI DR, IOWA CITY",1 Story Frame,1961,864,"7,560","$158,690",6509-797
1014342013,12/09/2023,"$143,000","1026 FRIENDLY AVE, IOWA CITY",1 Story Frame,1900,448,"6,250","$123,340",6534-228
1014403002,09/28/2023,"$145,000","2025 G ST, IOWA CITY",1 Story Frame,1935,864,"9,000","$149,240",6523-268
1023188017,11/22/2023,"$145,000","2200 CALIFORNIA AVE, IOWA CITY",1 Story Frame,1961,936,"8,000","$163,990",6531-148
1014184006,11/03/2023,"$150,000","822 2ND AVE, IOWA CITY",1 1/2 Story Frame,1923,1103,"12,000","$174,210",6528-723
1014381010,03/17/2023,"$150,000","1418 FRANKLIN ST, IOWA CITY",1 Story Frame,1955,672,"6,300","$146,620",6464-623
1015411001,05/12/2023,"$150,000","1217 KEOKUK ST, IOWA CITY",1 Story Frame,1920,880,"6,962","$150,830",6479-83
1014306003,03/30/2023,"$151,200","1331 LOWER MUSCATINE RD, IOWA CITY",1 Story Frame,1954,818,"4,688","$154,390",6466-649
1016404008,12/01/2023,"$159,000","323 DOUGLASS CT, IOWA CITY",1 Story Frame,1956,1022,"5,525","$147,010",6532-631
1015452007,03/03/2023,"$159,900","1413 PLUM ST, IOWA CITY",1 Story Frame,1954,912,"9,455","$207,720",6461-610
1013329005,05/01/2023,"$163,900","1032 S 1ST AVE, IOWA CITY",1 Story Frame,1957,957,"6,300","$166,580",6476-79
1010155001,02/21/2023,"$165,000","519 N GILBERT ST, IOWA CITY",1 1/2 Story Frame,1890,1264,"3,220","$252,310",6459-912
1013334009,10/20/2023,"$165,000","1227 WILLIAM ST, IOWA CITY",Split Foyer Frame,1958,808,"6,710","$178,130",6524-18
1014406007,09/01/2023,"$165,000","1130 4TH AVE, IOWA CITY",1 Story Frame,1935,1758,"6,000","$188,300",6520-520
1023176001,09/08/2023,"$165,000","2224 HOLLYWOOD BLVD, IOWA CITY",1 Story Frame,1962,864,"9,000","$162,750",6514-116
1011456005,05/31/2023,"$165,500","1715 WILSON ST, IOWA CITY",1 Story Frame,1927,672,"5,040","$181,220",6484-466
1014208019,08/10/2023,"$170,000","621 RUNDELL ST, IOWA CITY",1 Story Frame,1935,572,"3,125","$158,810",6507-850
1013329004,05/17/2023,"$172,000","1026 S 1ST AVE, IOWA CITY",1 Story Frame,1957,957,"6,300","$172,210",6481-579
1013226044,07/31/2023,"$172,500","537 TERRACE RD, IOWA CITY",1 Story Frame,1960,960,"9,240","$212,190",6504-970
1011452014,11/08/2023,"$175,000","1726 E COLLEGE ST, IOWA CITY",1 Story Brick,1929,1012,"5,850","$299,600",6529-26
1014257002,12/27/2023,"$175,000","1211 SHERIDAN AVE, IOWA CITY",1 Story Frame,1926,768,"3,600","$214,870",6535-802
1015160003,10/29/2023,"$175,000","622 WALNUT ST, IOWA CITY",1 Story Frame,1966,864,"7,900","$204,160",6526-941
1023188009,03/06/2023,"$175,905","2224 CALIFORNIA AVE, IOWA CITY",1 Story Frame,1960,864,"8,125","$194,270",6464-585
1014286003,09/19/2023,"$177,500","1316 KIRKWOOD AVE, IOWA CITY",1 Story Frame,1955,864,"10,500","$185,150",6516-595
1010186013,03/03/2023,"$180,000","316 N DODGE ST, IOWA CITY",1 Story Frame,1953,1194,"6,000","$271,170",6461-811
