"GEO_ID","NAME","B25106_001E","B25106_001M","B25106_002E","B25106_002M","B25106_003E","B25106_003M","B25106_004E","B25106_004M","B25106_005E","B25106_005M","B25106_006E","B25106_006M","B25106_007E","B25106_007M","B25106_008E","B25106_008M","B25106_009E","B25106_009M","B25106_010E","B25106_010M","B25106_011E","B25106_011M","B25106_012E","B25106_012M","B25106_013E","B25106_013M","B25106_014E","B25106_014M","B25106_015E","B25106_015M","B25106_016E","B25106_016M","B25106_017E","B25106_017M","B25106_018E","B25106_018M","B25106_019E","B25106_019M","B25106_020E","B25106_020M","B25106_021E","B25106_021M","B25106_022E","B25106_022M","B25106_023E","B25106_023M","B25106_024E","B25106_024M","B25106_025E","B25106_025M","B25106_026E","B25106_026M","B25106_027E","B25106_027M","B25106_028E","B25106_028M","B25106_029E","B25106_029M","B25106_030E","B25106_030M","B25106_031E","B25106_031M","B25106_032E","B25106_032M","B25106_033E","B25106_033M","B25106_034E","B25106_034M","B25106_035E","B25106_035M","B25106_036E","B25106_036M","B25106_037E","B25106_037M","B25106_038E","B25106_038M","B25106_039E","B25106_039M","B25106_040E","B25106_040M","B25106_041E","B25106_041M","B25106_042E","B25106_042M","B25106_043E","B25106_043M","B25106_044E","B25106_044M","B25106_045E","B25106_045M","B25106_046E","B25106_046M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner-occupied housing units:","Margin of Error!!Total:!!Owner-occupied housing units:","Estimate!!Total:!!Owner-occupied housing units:!!Less than $20,000:","Margin of Error!!Total:!!Owner-occupied housing units:!!Less than $20,000:","Estimate!!Total:!!Owner-occupied housing units:!!Less than $20,000:!!Less than 20 percent","Margin of Error!!Total:!!Owner-occupied housing units:!!Less than $20,000:!!Less than 20 percent","Estimate!!Total:!!Owner-occupied housing units:!!Less than $20,000:!!20 to 29 percent","Margin of Error!!Total:!!Owner-occupied housing units:!!Less than $20,000:!!20 to 29 percent","Estimate!!Total:!!Owner-occupied housing units:!!Less than $20,000:!!30 percent or more","Margin of Error!!Total:!!Owner-occupied housing units:!!Less than $20,000:!!30 percent or more","Estimate!!Total:!!Owner-occupied housing units:!!$20,000 to $34,999:","Margin of Error!!Total:!!Owner-occupied housing units:!!$20,000 to $34,999:","Estimate!!Total:!!Owner-occupied housing units:!!$20,000 to $34,999:!!Less than 20 percent","Margin of Error!!Total:!!Owner-occupied housing units:!!$20,000 to $34,999:!!Less than 20 percent","Estimate!!Total:!!Owner-occupied housing units:!!$20,000 to $34,999:!!20 to 29 percent","Margin of Error!!Total:!!Owner-occupied housing units:!!$20,000 to $34,999:!!20 to 29 percent","Estimate!!Total:!!Owner-occupied housing units:!!$20,000 to $34,999:!!30 percent or more","Margin of Error!!Total:!!Owner-occupied housing units:!!$20,000 to $34,999:!!30 percent or more","Estimate!!Total:!!Owner-occupied housing units:!!$35,000 to $49,999:","Margin of Error!!Total:!!Owner-occupied housing units:!!$35,000 to $49,999:","Estimate!!Total:!!Owner-occupied housing units:!!$35,000 to $49,999:!!Less than 20 percent","Margin of Error!!Total:!!Owner-occupied housing units:!!$35,000 to $49,999:!!Less than 20 percent","Estimate!!Total:!!Owner-occupied housing units:!!$35,000 to $49,999:!!20 to 29 percent","Margin of Error!!Total:!!Owner-occupied housing units:!!$35,000 to $49,999:!!20 to 29 percent","Estimate!!Total:!!Owner-occupied housing units:!!$35,000 to $49,999:!!30 percent or more","Margin of Error!!Total:!!Owner-occupied housing units:!!$35,000 to $49,999:!!30 percent or more","Estimate!!Total:!!Owner-occupied housing units:!!$50,000 to $74,999:","Margin of Error!!Total:!!Owner-occupied housing units:!!$50,000 to $74,999:","Estimate!!Total:!!Owner-occupied housing units:!!$50,000 to $74,999:!!Less than 20 percent","Margin of Error!!Total:!!Owner-occupied housing units:!!$50,000 to $74,999:!!Less than 20 percent","Estimate!!Total:!!Owner-occupied housing units:!!$50,000 to $74,999:!!20 to 29 percent","Margin of Error!!Total:!!Owner-occupied housing units:!!$50,000 to $74,999:!!20 to 29 percent","Estimate!!Total:!!Owner-occupied housing units:!!$50,000 to $74,999:!!30 percent or more","Margin of Error!!Total:!!Owner-occupied housing units:!!$50,000 to $74,999:!!30 percent or more","Estimate!!Total:!!Owner-occupied housing units:!!$75,000 or more:","Margin of Error!!Total:!!Owner-occupied housing units:!!$75,000 or more:","Estimate!!Total:!!Owner-occupied housing units:!!$75,000 or more:!!Less than 20 percent","Margin of Error!!Total:!!Owner-occupied housing units:!!$75,000 or more:!!Less than 20 percent","Estimate!!Total:!!Owner-occupied housing units:!!$75,000 or more:!!20 to 29 percent","Margin of Error!!Total:!!Owner-occupied housing units:!!$75,000 or more:!!20 to 29 percent","Estimate!!Total:!!Owner-occupied housing units:!!$75,000 or more:!!30 percent or more","Margin of Error!!Total:!!Owner-occupied housing units:!!$75,000 or more:!!30 percent or more","Estimate!!Total:!!Owner-occupied housing units:!!Zero or negative income","Margin of Error!!Total:!!Owner-occupied housing units:!!Zero or negative income","Estimate!!Total:!!Renter-occupied housing units:","Margin of Error!!Total:!!Renter-occupied housing units:","Estimate!!Total:!!Renter-occupied housing units:!!Less than $20,000:","Margin of Error!!Total:!!Renter-occupied housing units:!!Less than $20,000:","Estimate!!Total:!!Renter-occupied housing units:!!Less than $20,000:!!Less than 20 percent","Margin of Error!!Total:!!Renter-occupied housing units:!!Less than $20,000:!!Less than 20 percent","Estimate!!Total:!!Renter-occupied housing units:!!Less than $20,000:!!20 to 29 percent","Margin of Error!!Total:!!Renter-occupied housing units:!!Less than $20,000:!!20 to 29 percent","Estimate!!Total:!!Renter-occupied housing units:!!Less than $20,000:!!30 percent or more","Margin of Error!!Total:!!Renter-occupied housing units:!!Less than $20,000:!!30 percent or more","Estimate!!Total:!!Renter-occupied housing units:!!$20,000 to $34,999:","Margin of Error!!Total:!!Renter-occupied housing units:!!$20,000 to $34,999:","Estimate!!Total:!!Renter-occupied housing units:!!$20,000 to $34,999:!!Less than 20 percent","Margin of Error!!Total:!!Renter-occupied housing units:!!$20,000 to $34,999:!!Less than 20 percent","Estimate!!Total:!!Renter-occupied housing units:!!$20,000 to $34,999:!!20 to 29 percent","Margin of Error!!Total:!!Renter-occupied housing units:!!$20,000 to $34,999:!!20 to 29 percent","Estimate!!Total:!!Renter-occupied housing units:!!$20,000 to $34,999:!!30 percent or more","Margin of Error!!Total:!!Renter-occupied housing units:!!$20,000 to $34,999:!!30 percent or more","Estimate!!Total:!!Renter-occupied housing units:!!$35,000 to $49,999:","Margin of Error!!Total:!!Renter-occupied housing units:!!$35,000 to $49,999:","Estimate!!Total:!!Renter-occupied housing units:!!$35,000 to $49,999:!!Less than 20 percent","Margin of Error!!Total:!!Renter-occupied housing units:!!$35,000 to $49,999:!!Less than 20 percent","Estimate!!Total:!!Renter-occupied housing units:!!$35,000 to $49,999:!!20 to 29 percent","Margin of Error!!Total:!!Renter-occupied housing units:!!$35,000 to $49,999:!!20 to 29 percent","Estimate!!Total:!!Renter-occupied housing units:!!$35,000 to $49,999:!!30 percent or more","Margin of Error!!Total:!!Renter-occupied housing units:!!$35,000 to $49,999:!!30 percent or more","Estimate!!Total:!!Renter-occupied housing units:!!$50,000 to $74,999:","Margin of Error!!Total:!!Renter-occupied housing units:!!$50,000 to $74,999:","Estimate!!Total:!!Renter-occupied housing units:!!$50,000 to $74,999:!!Less than 20 percent","Margin of Error!!Total:!!Renter-occupied housing units:!!$50,000 to $74,999:!!Less than 20 percent","Estimate!!Total:!!Renter-occupied housing units:!!$50,000 to $74,999:!!20 to 29 percent","Margin of Error!!Total:!!Renter-occupied housing units:!!$50,000 to $74,999:!!20 to 29 percent","Estimate!!Total:!!Renter-occupied housing units:!!$50,000 to $74,999:!!30 percent or more","Margin of Error!!Total:!!Renter-occupied housing units:!!$50,000 to $74,999:!!30 percent or more","Estimate!!Total:!!Renter-occupied housing units:!!$75,000 or more:","Margin of Error!!Total:!!Renter-occupied housing units:!!$75,000 or more:","Estimate!!Total:!!Renter-occupied housing units:!!$75,000 or more:!!Less than 20 percent","Margin of Error!!Total:!!Renter-occupied housing units:!!$75,000 or more:!!Less than 20 percent","Estimate!!Total:!!Renter-occupied housing units:!!$75,000 or more:!!20 to 29 percent","Margin of Error!!Total:!!Renter-occupied housing units:!!$75,000 or more:!!20 to 29 percent","Estimate!!Total:!!Renter-occupied housing units:!!$75,000 or more:!!30 percent or more","Margin of Error!!Total:!!Renter-occupied housing units:!!$75,000 or more:!!30 percent or more","Estimate!!Total:!!Renter-occupied housing units:!!Zero or negative income","Margin of Error!!Total:!!Renter-occupied housing units:!!Zero or negative income","Estimate!!Total:!!Renter-occupied housing units:!!No cash rent","Margin of Error!!Total:!!Renter-occupied housing units:!!No cash rent",
"0500000US19103","Johnson County, Iowa","62214","711","36606","847","1583","293","73","55","94","64","1416","303","1750","347","306","172","406","134","1038","280","2492","340","763","201","576","186","1153","233","4961","585","2195","396","1392","354","1374","241","25609","873","19324","876","4771","458","1514","333","211","106","25608","949","5762","594","3","5","186","96","5573","577","5126","600","70","67","272","117","4784","585","4032","516","321","198","1408","293","2303","373","4421","533","1640","357","1718","309","1063","345","5237","624","3649","444","1391","354","197","97","376","139","654","208",
