Parcel Number,Sale Date,Sale Amount,Address,Style,Year Built,Total SF,Lot Area,Appraised Value,Recording
1016336002,04/12/2018,"$307,500","1022 SUNSET ST, IOWA CITY",1 Story Frame,1976,1557,"10,787","$372,390",5777-29
0907481003,06/12/2018,"$309,900","37 COLCHESTER DR, IOWA CITY",Split Foyer Frame,2017,1462,"8,010","$383,150",5800-639
1023365004,07/06/2018,"$309,900","1205 LANGENBERG AVE, IOWA CITY",1 Story Frame,2017,1389,"8,196","$401,680",5820-710
0907468002,06/28/2018,"$310,000","341 ARLINGTON DR, IOWA CITY",Split Level Frame,2012,1940,"8,485","$401,120",5809-401
1002234005,09/06/2018,"$310,000","2018 BRISTOL DR, IOWA CITY",2 Story Frame,2007,2263,"12,750","$428,800",5837-516
1018304002,03/01/2018,"$310,000","919 DUCK CREEK DR, IOWA CITY",1 Story Frame,1990,1676,"10,725","$419,540",5765-623
0918133001,08/03/2018,"$311,000","719 HUNTINGTON DR, IOWA CITY",2 Story Frame,2000,2457,"11,174","$476,380",5828-571
1113455002,02/21/2018,"$311,500","1444 LAKE SHORE DR, IOWA CITY",1 Story Frame,2012,1467,"9,048","$424,440",5761-839
1011357001,07/11/2018,"$312,000","1510 E COLLEGE ST, IOWA CITY",1 Story Frame,1946,1889,"12,065","$423,500",5816-33
1011393005,07/09/2018,"$312,000","1154 E COURT ST, IOWA CITY",2 Story Frame,1910,2168,"9,720","$430,960",5812-162
1018311004,05/30/2018,"$313,500","3627 FOXANA DR, IOWA CITY",Split Foyer Frame,1991,1876,"10,120","$383,750",5804-769
0907313002,03/05/2018,"$314,900","4170 LILLIAN ST, IOWA CITY",1 Story Frame,2016,1228,"8,559","$389,910",5765-980
0907317004,03/01/2018,"$314,900","62 CAMDEN RD, IOWA CITY",1 Story Frame,2017,1418,"8,395","$416,530",5761-64
0907395008,06/15/2018,"$314,900","25 CAMDEN RD, IOWA CITY",1 Story Frame,2017,1379,"8,050","$400,330",5801-1
0907204009,11/05/2018,"$315,000","3922 UNBRIDLED AVE, IOWA CITY",2 Story Frame,2017,2272,"6,957","$371,880",5853-792
1013414002,11/26/2018,"$315,000","1419 CHAMBERLAIN DR, IOWA CITY",1 Story Frame,1998,1437,"8,760","$413,090",5862-366
1112105002,11/20/2018,"$316,000","1029 RYAN CT, IOWA CITY",2 Story Frame,2009,1890,"7,583","$396,160",5857-201
