Parcel Number,Sale Date,Sale Amount,Address,Style,Year Built,Total SF,Lot Area,Appraised Value,Recording
1023129005,06/14/2013,"$165,000","1809 HOLLYWOOD BLVD, IOWA CITY",Split Foyer Frame,1984,1111,"9,435","$268,820",5119-401
1023203003,08/28/2013,"$165,000","1634 HOLLYWOOD BLVD, IOWA CITY",1 Story Frame,1965,1044,"11,250","$253,670",5153-593
1023376012,10/03/2013,"$165,000","1522 DICKENSON LN, IOWA CITY",1 Story Frame,2001,1279,"6,600","$246,390",5167-782
1023128003,11/26/2013,"$166,000","1909 DELWOOD DR, IOWA CITY",1 Story Frame,1981,1220,"12,530","$277,630",5185-30
1010407014,02/22/2013,"$167,000","938 E JEFFERSON ST, IOWA CITY",2 Story Frame,1882,2272,"9,000","$476,930",5056-84
1012302021,09/16/2013,"$167,000","27 GREEN MOUNTAIN DR, IOWA CITY",1 Story Frame,1978,2142,"12,615","$435,420",5161-25
1012456002,08/13/2013,"$167,000","3035 SWEET BRIAR AVE, IOWA CITY",1 Story Frame,1970,1308,"8,640","$287,930",5147-362
1017329001,06/14/2013,"$167,500","1044 JENSEN ST, IOWA CITY",Split Foyer Frame,1994,938,"5,760","$248,480",5110-903
1015408017,07/24/2013,"$167,850","1301 MARCY ST, IOWA CITY",1 1/2 Story Frame,1900,1021,"7,200","$270,810",5141-358
1013226038,06/06/2013,"$168,000","2410 FRIENDSHIP ST, IOWA CITY",1 Story Frame,1958,1693,"8,400","$244,920",5104-877
1014362007,02/18/2013,"$168,000","1607 RIDGE ST, IOWA CITY",1 Story Frame,1951,1110,"6,250","$280,810",5055-283
1014426003,06/02/2013,"$168,000","1907 G ST, IOWA CITY",1 Story Frame,1925,1162,"12,000","$284,710",5136-390
1023203010,07/19/2013,"$168,000","1502 HOLLYWOOD BLVD, IOWA CITY",1 Story Frame,1972,1116,"10,650","$259,810",5132-193
1015101022,06/28/2013,"$168,500","528 S GOVERNOR ST, IOWA CITY",2 Story Frame,1844,1262,"7,938","$270,410",5132-813
1010186012,05/20/2013,"$169,000","320 N DODGE ST, IOWA CITY",1 1/2 Story Frame,1900,1425,"4,500","$249,480",5100-452
1012362006,09/05/2013,"$169,500","2502 E COURT ST, IOWA CITY",Split Level Frame,1962,1224,"12,450","$246,140",5157-827
1023152008,06/20/2013,"$169,500","1818 FLATIRON AVE, IOWA CITY",Split Foyer Frame,1980,1122,"7,735","$266,870",5118-678
1024129026,07/19/2013,"$169,500","1761 DOVER ST, IOWA CITY",Split Foyer Frame,1982,1248,"10,176","$254,280",5136-550
1016272003,05/23/2013,"$169,900","1215 W BENTON ST, IOWA CITY",Split Level Frame,1966,1296,"8,400","$286,410",5100-79
1011227010,03/29/2013,"$170,000","600 RENO ST, IOWA CITY",1 Story Frame,1955,1799,"24,480","$411,670",5073-329
1012376014,08/30/2013,"$170,000","226 SHRADER RD, IOWA CITY",1 Story Frame,1966,1152,"8,175","$270,630",5155-212
